Authors,Title,Year,Source title,Processed_Abstract,Processed_Keywords,Algorithms_in_Abstract_Expanded_New,Algorithms_in_Keywords_Expanded_New
Alghamdi T.; Alaghband G.,SAFEPA: An Expandable Multi-Pose Facial Expressions Pain Assessment Method,2023,Applied Sciences (Switzerland),accurately assessing intensity pain facial expressions captured videos crucial effective pain management critical wide range healthcare applications however uncontrolled environments detecting facial expressions full left right profiles remains significant challenge even advanced models recognizing pain levels based facial expressions suffer declining performance study present novel model designed overcome challenges posed full left right profiles—sparse autoencoders facial expressionsbased pain assessment safepa model utilizes sparse autoencoders sae reconstruct upper part face input image feeds original image reconstructed upper face two pretrained concurrent coupled convolutional neural networks cnns approach gives weight upper part face resulting superior recognition performance moreover safepa ’ design leverages cnns ’ strengths also accommodating variations head poses thus eliminating need face detection upperface extraction preprocessing steps needed models safepa achieves high accuracy recognizing four levels pain widely used unbcmcmaster shoulder pain expression archive dataset safepa extended facial expression recognition show outperform stateoftheart models recognizing seven facial expressions viewed five different angles including challenging full left right profiles karolinska directed emotional faces kdef dataset furthermore safepa system capable processing biovid heat pain datasets average processing time 1782 per video 5 length maintaining competitive accuracy compared stateoftheart pain detection systems experiment demonstrates applicability reallife scenarios monitoring systems safepa opened new possibilities accurate pain assessment even challenging situations varying head poses © 2023 authors,autoencoders convolutional neural network deep learning facial expression recognition pain assessment,"['Convolutional Neural Networks', 'Autoencoders']","['Convolutional Neural Networks', 'Autoencoders']"
Ivanson H.; Altenhofen B.; Cannesson M.; Canales C.,The Ethics of Big Data and Artificial Intelligence in Perioperative Medicine: Is Unregulated AI Already at the Bedside?,2023,Current Anesthesiology Reports,purpose review artificial intelligence permeating perioperative medicine real implication patient outcomes discuss ethics artificial intelligence big data perioperative medicine bring awareness tools harnessed improve patient outcomes cognizant ethical considerations ai tools changing practice perioperative healthcare providers across world recent findings concerns scientific integrity increasing availability language learning models ai tools fabricate data images unregulated ai likely already bedside aiding novices healthcarefocused ai tools decision support systems undergo regulatory scrutiny summary perioperative setting training healthcare provider need catch technological tools available discern appropriate uses technology © 2023 authors exclusive licence springer sciencebusiness media llc part springer nature,anesthesiology artificial intelligence big data decision support ethics perioperative medicine,[],[]
Di Biase L.; Zou F.; Lin A.N.; Grupposo V.; Marazzato J.; Tarantino N.; Della Rocca D.; Mohanty S.; Natale A.; Alhuarrat M.A.D.; Haiman G.; Haimovich D.; Matthew R.A.; Alcazar J.; Costa G.; Urman R.; Zhang X.,Feasibility of three-dimensional artificial intelligence algorithm integration with intracardiac echocardiography for left atrial imaging during atrial fibrillation catheter ablation,2023,Europace,aims intracardiac echocardiography ice useful operatordependent tool left atrial la anatomical rendering atrial fibrillation af ablation cartosound fam module new deep learning dl imaging algorithm potential overcome limitation study aims evaluate feasibility algorithm compared cardiac computed tomography ct patients undergoing af ablation methods results 28 patients undergoing af ablation baseline patient information recorded threedimensional 3d shells la body anatomical structures la appendageleft superior pulmonary veinleft inferior pulmonary veinright superior pulmonary veinright inferior pulmonary vein ripv reconstructed using dl algorithm selected ultrasound frames gated endexpiration max la volume ostial diameters structures carinatocarina distance left right pulmonary veins measured compared ct measurements anatomical accuracy dl algorithm evaluated three independent electrophysiologists using threeanchor scale la anatomical structures fiveanchor scale la body ablationrelated characteristics summarized algorithm generated 3d reconstruction la anatomies twodimensional contours overlaid ultrasound input frames average calculation time la reconstruction 65 mean ostial diameters carinatocarina distance comparable ct without statistical significance ostial diameters carinatocarina distance also showed moderate high correlation r 052075 except ripv r 020 qualitative ratings showed good agreement without betweenrater differences average procedure time 1437 ± 437 min average radiofrequency time 316 ± 102 min patients achieved ablation success immediate complications observed conclusion dl algorithm integration ice demonstrated considerable accuracy compared ct qualitative physician assessment feasibility ice algorithm potentially streamline af ablation workflow © 2023 authors published oxford university press behalf european society cardiology,artificial intelligence atrial fibrillation catheter ablation deep learning intracardiac echocardiography,[],[]
Gheysen F.; Rex S.,Artificial intelligence in anesthesiology,2023,Acta Anaesthesiologica Belgica,artificial intelligence ai rapidly evolving gaining attention medical world aim provide readers insights quickly changing medical landscape role clinicians middle popular technology review aim explain increasingly frequently used ai terminology explicitly physicians next give summation overview currently existing applications future possibilities ai medical field anesthesiology thoroughly highlight possible problems could arise implementing technology daily practice therefore conducted literature search including types articles published first january 2010 1st may 2023 written english free full text available searched pubmed medline embase using “ artificial intelligence ” “ machine learning ” “ deep learning ” “ neural networks ” “ anesthesiology ” mesh terms structure findings divided results five categories preoperatively perioperatively postoperatively ai intensive care unit finally ai used teaching purposes first category found ai applications airway assessment risk prediction logistic support secondly made summation ai applications used operation ai predict hypotensive events delivering automated anesthesia reducing false alarms aiding analysis ultrasound anatomy locoregional anesthesia echocardiography thirdly namely postoperatively ai applied predicting acute kidney injury pulmonary complications postoperative cognitive dysfunction help diagnose postoperative pain children intensive care unit ai tools discriminate acute respiratory distress syndrome ards pulmonary oedema pleural ultrasound predict mortality sepsis accurately predict survival rates severe coronavirus19 covid19 finally ai described training residents spinal ultrasound simulation plexus block anatomy several concerns must addressed regarding use ai firstly software explain decision process ie ‘ black box problem ’ secondly develop ai models decision support systems need big accurate datasets unfortunately potential unknown bias thirdly need ethical legal framework implementing technology end paper discuss whether technology able replace clinician one day paper adds value already existing literature offers summation existing literature ai applications anesthesiology also gives clear definitions ai critically assesses implementation technology © 2023 arsmbkvbmg rights reserved,anesthesia artificial intelligence automation chatbots decision support systems deep learning machine learning neural networks,['Machine Learning'],['Machine Learning']
Zhang F.; Yin Z.; Xu F.; Li Y.; Xu G.,MAB-DrNet: Bearing Fault Diagnosis Method Based on an Improved Dilated Convolutional Neural Network,2023,Sensors,rolling bearing fault diagnosis great significance safe reliable operation manufacturing equipment actual complex environment collected bearing signals usually contain large amount noises resonances environment components resulting nonlinear characteristics collected data existing deeplearningbased solutions bearing fault diagnosis perform poorly classification performance noises address problems paper proposes improved dilatedconvolutionalneural networkbased bearing fault diagnosis method noisy environments named mabdrnet first basic model called dilated residual network drnet designed based residual block enlarge model ’ perceptual field better capture features bearing fault signals maxaverage block mab module designed improve feature extraction capability model addition global residual block grb module introduced mabdrnet improve performance proposed model enabling model better handle global information input data improve classification accuracy model noisy environments finally proposed method tested cwru dataset results showed proposed method good noise immunity accuracy 9557 adding gaussian white noises signaltonoise ratio −6 db proposed method also compared existing advanced methods prove high accuracy © 2023 authors,deep learning dilated convolution fault diagnosis noisy environment residual network,[],[]
Lu Y.; Salmons H.I.; Mickley J.P.; Bedard N.A.; Taunton M.J.; Wyles C.C.,Defining Clinically Meaningful Subgroups for Risk Stratification in Patients Undergoing Revision Total Hip Arthroplasty: A Combined Unsupervised and Supervised Machine Learning Approach,2023,Journal of Arthroplasty,background studies developing predictive models large datasets riskstratify patients going revision total hip arthroplasties rthas limited used machine learning ml stratify patients undergoing rtha riskbased subgroups methods retrospectively identified 7425 patients underwent rtha national database unsupervised random forest algorithm used partition patients highrisk lowrisk strata based similarities rates mortality reoperation 25 postoperative complications risk calculator produced using supervised ml algorithm identify highrisk patients based preoperative parameters results 3135 4290 patients identified highrisk lowrisk subgroups respectively group significantly differed rate 30day mortalities unplanned reoperationsreadmissions routine discharges hospital lengths stay p 05 extreme gradient boosting algorithm identified preoperative platelets 200 hematocrit 35 20 increasing age albumin 3 international normalized ratio 2 body mass index 35 american society anesthesia class ≥ 3 blood urea nitrogen 50 30 creatinine 15 diagnosis hypertension coagulopathy revision periprosthetic fracture infection predictors high risk conclusion clinically meaningful risk strata patients undergoing rtha identified using ml clustering approach preoperative labs demographics surgical indications greatest impact differentiating high versus low risk level evidence iii © 2023 elsevier inc,adult reconstruction artificial intelligence complications outcomes predictive model preoperative,"['Random Forest', 'Machine Learning']",[]
Fernandez N.; Maxwell A.; Noonavath M.; Shnorhavorian M.,Comprehensive multidisciplinary phenotyping of patients with hypospadias. A pilot study,2023,Journal of Pediatric Urology,introduction hypospadias abnormal formation urethra ventral skin corporal bodies location urethral meatus historically phenotypic landmark defines hypospadias nonetheless classifications following location urethral meatus fail consistently predict outcomes correlation genotype description urethral plate subjective difficult reproduce hypothesize use digital pixel cluster analysis correlation histological analysis provide novel method describe phenotype patients hypospadias methods standardized hypospadias phenotyping protocol developed 1 digital images anomaly 2 anthropometric assessment penile dimensions penile length urethral plate length width glans width ventral curvature 3 classification using gms score 4 tissue sampling foreskin glans urethral plate periurethral ventral skin analysis blinded pathologist kmeans colorimetric pixel cluster analysis performed following anatomical landmark distribution histology samples analysis performed using matlab v r2021b 91101769968 results total 24 patients prospectively enrolled standard protocol mean age surgery 1625 months urethral meatus distal shaft 7 patients 8 coronal 4 glanular 3 midshaft 2 penoscrotal average gms score 714 ±158 average glans size 1571 mm ±233 urethral plate width 557 mm ±206 eleven patients underwent thierschduplay repair 7 tip 5 magpi 1 first stage preputial flap mean followup 1425 months ± 37 months two 83 postoperative complications 1 urethrocutaneous fistula 1 ventral skin wound dehiscence reported study period eleven 523 patients histological analysis abnormal pathology report 6 54 reported abnormal lymphocyte infiltration interpreted chronic inflammation urethral plate second common finding hyperkeratosis visualized urethral plate 4 363 one reported fibrosis urethral plate kmeans pixel analysis demonstrated k1 mean 642 reported urethral plate inflammation vs 531 nonreported urethral plate inflammation p 0002 conclusions current phenotyping hypospadias using anthropometric variables expanded including histological pixel analysis correlation pixel clustering potential priori prediction urethral plate quality beyond current subjective assessment larger cohort allow identification possible predictive associations might impact intraoperative decisionmaking surgical outcomes © 2023 journal pediatric urology company,hypospadias machine learning pixel analysis,['K-Means Clustering'],['Machine Learning']
Chen X.; Zhu H.; Mei L.; Shu Q.; Cheng X.; Luo F.; Zhao Y.; Chen S.; Pan Y.,Video-Based versus On-Site Neonatal Pain Assessment in Neonatal Intensive Care Units: The Impact of Video-Based Neonatal Pain Assessment in Real-World Scenario on Pain Diagnosis and Its Artificial Intelligence Application,2023,Diagnostics,background neonatal pain assessment npa represents huge global problem essential importance timely accurate assessment neonatal pain indispensable implementing pain management purpose investigate consistency pain scores derived videobased npa vbnpa onsite npa osnpa providing scientific foundation feasibility adopting vbnpa results realworld scenario gold standard neonatal pain clinical studies labels artificial intelligence aibased npa ainpa applications setting total 598 neonates recruited pediatric hospital china methods observational study recorded 598 neonates underwent one 10 painful procedures including arterial blood sampling heel blood sampling fingertip blood sampling intravenous injection subcutaneous injection peripheral intravenous cannulation nasopharyngeal suctioning retention enema adhesive removal wound dressing two experienced nurses performed osnpa vbnpa 10day interval doubleblind scoring using neonatal infant pain scale evaluate pain level neonates intrarater interrater reliability calculated analyzed paired samples ttest used explore bias consistency assessors ’ pain scores derived osnpa vbnpa impact different label sources evaluated using three stateoftheart ai methods trained labels given osnpa vbnpa respectively results intrarater reliability assessor 0976–0983 across different times measured intraclass correlation coefficient interrater reliability 0983 single measures 0992 average measures significant differences observed osnpa scores assessment independent vbnpa assessor different label sources caused limited accuracy loss 0022–0044 three ai methods conclusion vbnpa realworld scenario effective way assess neonatal pain due high intrarater interrater reliability compared osnpa could used labeling largescale npa video databases clinical studies ai training © 2023 authors,interrater variability neonatal intensive care units neonatal nursing neonatal pain assessment pain management,[],[]
Lapp L.; Roper M.; Kavanagh K.; Bouamrane M.-M.; Schraag S.,Dynamic Prediction of Patient Outcomes in the Intensive Care Unit: A Scoping Review of the State-of-the-Art,2023,Journal of Intensive Care Medicine,introduction intensive care units icus highpressure complex technologyintensive medical environments patient physiological data generated continuously due complexity interpreting multiple signals speed substantial opportunities significant potential benefits providing icu staff additional decision support predictive modeling tools support aid decisionmaking realtime scoping review aims synthesize stateoftheart dynamic prediction models patient outcomes developed use icu define “ dynamic ” models predictions regularly computed updated time response updated physiological signals methods studies describing development predictive models use icu searched using pubmed studies screened per preferred reporting items systematic reviews metaanalysis prisma guidelines data regarding predicted outcomes methods used develop predictive models preprocessing data dealing missing values performance measures extracted analyzed results total n 36 studies included synthesis review included studies focused prediction various outcomes including mortality n 17 sepsisrelated complications n 12 cardiovascular complications n 5 complications respiratory renal complications bleeding n 5 common classification methods include logistic regression random forest support vector machine neural networks conclusion included studies demonstrated strong interest developing dynamic prediction models various icu patient outcomes models reported focus mortality development models focusing range serious welldefined complications—such acute kidney injury—would beneficial furthermore studies improve reporting key aspects model development challenges © authors 2023,critical care dynamic prediction intensive care unit patient outcomes predictive modeling,"['Logistic Regression', 'Random Forest', 'Support Vector Machine']",[]
Deng Z.; Wei X.; Zheng X.; He B.,Automatic endoscopic navigation based on attention-based network for Nasotracheal Intubation,2023,Biomedical Signal Processing and Control,nasotracheal intubation nti one commonly performed procedures anesthesia considered gold standard securing airway patients endoscope operation critical success nti however operation remains challenging requires surgeon classify anatomical landmarks detect heading targets endoscope tip sequence monocular images alleviate problem study presents learningbased navigation method automatically classifies four different anatomical landmarks detects heading target endoscope tip endoscopic images first endtoend multitask network introduced consists branch anatomical landmark classification another heading target detection addition convolutional attention module designed improve network performance combining spatial channel attention second endoscopic dataset named intunav built network training trained network calculates navigation information without image prior knowledge finally extensive experiments built dataset endoscopic videos demonstrate high performance method achieving classification 94 detection 794 accuracies results also indicate proposed method effective efficient navigation generation nti © 2023,deep learning endoscopic navigation image classification detection nasotracheal intubation,[],[]
Nübel J.; Hauptmann M.; Schön J.; Fritz G.; Butter C.; Haase-Fielitz A.,App-based assessment of memory functions in patients after transfemoral aortic valve replacement,2023,Journal of Geriatric Cardiology,background transfemoral aortic valve replacement tavr standard treatment elderly patients aortic valve stenosis although safe wellestablished risk intraprocedural hemodynamic instability silent cerebral embolism lead decline neurocognitive function dementia clinical practice comprehensive cognitive testing difficult perform aiassisted digital applications may help optimize diagnosis monitoring methods neurocognitive function assessed validated psychometric tests using δelta app uses artificial intelligence computational linguistic methods extraction analysis memory function assessed using consortium establish registry alzheimers disease cerad word list digit span task dst tavr hospital discharge study registered german register clinical trials httpsdrksdesearchdetrialdrks00020813 results october 2020 march 2022 141 patients enrolled university hospital heart centre brandenburg mean age 81 ± 6 years 426 women time pre postinterventional test average 6 ± 3 days memory function tavr found average relation age educational level prepost tavr comparison showed significant improvements wordlist repeat p 0001 wordlist recall test cerad p 0001 changes digital span test conclusions despite impaired preoperative memory function tavr global negative effect memory function tvar detected improvements shown word list test interpreted usual learning effects task © 2023 jgc rights reserved,,[],[]
Sperotto F.; Emani S.; Zhu L.; Delgado M.; Santillana M.; Kheir J.N.,Predicting favorable response to intravenous morphine in pediatric critically ill cardiac patients,2023,Pharmacotherapy,introduction analgesia sedation integral care critically ill children however choice dose analgesic sedative drug often empiric models predicting favorable responses lacking aimed compute models predict patients response intravenous morphine methods retrospectively analyzed data consecutive patients admitted cardiac intensive care unit january 2011–january 2020 received least one intravenous bolus morphine primary outcome decrease state behavioral scale sbs ≥1 point secondary outcome decrease heart rate zscore zhr 30 min effective doses modeled using logistic regression lasso regression random forest modeling results total 117495 administrations intravenous morphine among 8140 patients median age 06 years interquartile range iqr 019 33 included median morphine dose 0051 mgkg iqr 0048 0099 median 30day cumulative dose 22 mgkg iqr 04 153 sbs decreased following 30 doses change following 45 increased following 25 zhr significantly decreased morphine administration median deltazhr −034 iqr−103 000 p 0001 following factors associated favorable response morphine concomitant infusion propofol higher prior 30day cumulative dose invasively ventilated andor vasopressors higher morphine dose higher zhr premorphine additional analgosedation bolus ±30 min around index bolus concomitant ketamine dexmedetomidine infusion showing signs withdrawal syndrome associated unfavorable response logistic regression area receiver operating characteristic roc curve auc 0900 machine learning models auc 0906 performed comparably sensitivity 95 specificity 71 negative predictive value 97 conclusions statistical models identify 95 effective intravenous morphine doses pediatric critically ill cardiac patients incorrectly suggesting effective dose 29 cases work represents important step toward computeraided personalized clinical decision support tool sedation analgesia icu patients © 2023 pharmacotherapy publications inc,cardiac surgical procedures congenital machine learning predictive analytics random forest sedation,"['Logistic Regression', 'Random Forest', 'Machine Learning']","['Random Forest', 'Machine Learning']"
Labott J.R.; Lu Y.; Salmons H.I.; Camp C.L.; Wyles C.C.; Taunton M.J.,Health and Socioeconomic Risk Factors for Unplanned Hospitalization Following Ambulatory Unicompartmental Knee Arthroplasty: Development of a Patient Selection Tool Using Machine Learning,2023,Journal of Arthroplasty,background identifying ambulatory surgical candidates risk adverse surgical outcomes optimize outcomes purpose study develop internally validate machine learning ml algorithm predict contributors unexpected hospitalizations ambulatory unicompartmental knee arthroplasty uka methods total 2521 patients undergoing uka 2006 2018 retrospectively evaluated patients admitted overnight postoperatively identified length stay ≥ 1 day analyzed four individual ml models ie random forest extreme gradient boosting adaptive boosting elastic net penalized logistic regression additional model produced weighted ensemble four individual algorithms area receiver operating characteristics auroc compared predictive capacity models conventional logistic regression techniques results 2521 patients identified 103 41 required least one overnight stay following ambulatory uka ml ensemble model achieved best performance based discrimination assessed via internal validation auroc 873 outperforming individual models conventional logistic regression auroc 819857 variables determined important ensemble model cumulative time operating room utilization general anesthesia increasing age patient residency urban areas model integrated webbased openaccess application conclusion ensemble gradient–boosted ml algorithm demonstrated highest performance identifying factors contributing unexpected hospitalizations patients receiving uka tool allows physicians healthcare systems identify patients higher risk needing inpatient care uka © 2023 elsevier inc,,"['Logistic Regression', 'Random Forest', 'Machine Learning']",[]
Cartwright A.J.,The elephant in the room: cybersecurity in healthcare,2023,Journal of Clinical Monitoring and Computing,cybersecurity seen increasing frequency impact cyberattacks exposure protected health information phi uptake electronic medical record emr exponential adoption internet things iot devices impact covid19 pandemic increased threat surface presented cyberattack healthcare sector within healthcare generally specifically within anaesthesia intensive care explosion wired wireless devices used daily care almost every patient—the internet medical things iomt ventilators anaesthetic machines infusion pumps pacing devices organ support plethora monitoring modalities devices connected hospital network present another opportunity malevolent party access hospital systems either gain phi financial political gain attack systems directly cause erroneous monitoring altered settings device even access emr via iomt window exponential increase iomt increasing wireless connectivity anaesthesia icu devices well implantable devices presents real present danger patient safety time chronic underfunding cybersecurity healthcare lack cybersecurity investment left sector exposed monetisation phi introduction technically unsecure iot devices monitoring direct patient care healthcare sector presenting devastating cyberattacks breaches phi coupled immense strain covid19 pandemic placed healthcare changes working patterns many caregivers amplified exposure sector cyberattacks © 2023 authors exclusive licence springer nature bv,covid cyberattack cybersecurity internet things phishing protected health information,[],[]
Bohic M.; Pattison L.A.; Jhumka Z.A.; Rossi H.; Thackray J.K.; Ricci M.; Mossazghi N.; Foster W.; Ogundare S.; Twomey C.R.; Hilton H.; Arnold J.; Tischfield M.A.; Yttri E.A.; St. John Smith E.; Abdus-Saboor I.; Abraira V.E.,"Mapping the neuroethological signatures of pain, analgesia, and recovery in mice",2023,Neuron,ongoing pain driven activation modulation painsensing neurons affecting physiology motor function motivation engage certain behaviors complexity pain state evaded comprehensive definition especially nonverbal animals mice used sitespecific electrophysiology define key time points corresponding peripheral sensitivity acute paw inflammation chronic knee pain models using supervised unsupervised machine learning tools uncovered sensoryevoked coping postures unique model 3d pose analytics identified movement sequences robustly represent different pain states found commonly used analgesics return animals behavior preinjury state instead analgesics induce novel set spontaneous behaviors maintained even resolution evoked pain behaviors together findings reveal previously unidentified neuroethological signatures pain analgesia heightened pain states recovery © 2023 elsevier inc,analgesia behavior computer vision electrophysiology machine learning motion sequencing mouse nociception pain recovery,['Machine Learning'],['Machine Learning']
Evans F.M.; Wolbrink T.A.,In Response,2023,Anesthesia and Analgesia,abstract available,,[],[]
Meidani Z.; Zand F.; Zare S.; Shirdeli M.; Sharifian R.; Ouhadian M.; Holl F.,Usability Assessment of an Electronic Medical Record-Embedded Clinical Decision Support System for Arterial Blood Gas Interpretation,2023,Studies in Health Technology and Informatics,since usability considered significant success factor clinical decision support systems cdsss study seeks assess usability electronic medical recordsembedded cdss arterial blood gas abg interpretation ordering current study conducted general icu teaching hospital using system usability scale sus interviews anesthesiology residents intensive care fellows two rounds cdss usability testing feedback participants discussed research team across series meetings second version cdss designed tailored participants feedbacks subsequently cdss usability score increased 6722±458 8000±484 pvalue0001 participatory iterative design users usability testing feedbacks © 2023 authors ios press,blood gas analysis clinical decision support systems usability,[],[]
Mayes E.; Gehlbach J.A.; Jeziorczak P.M.; Wooldridge A.R.,Machine learning to operationalize team cognition: A case study of patient handoffs,2023,Human Factors in Healthcare,pediatric care transitions important patient safety improved methods provide feedback care transitions may lead improvement conducted secondary analysis five simulations handoff pediatric trauma patient operating room pediatric intensive care unit picu highfidelity simulation center midwestern united states using practicing clinicians participants synthesizing literature qualitative content analysis simulation recordings identified communication content transitions patient information anesthesia information surgical information nursing information equipment technology transfer patient transfer professional environment simulation used five simulations demonstrate use natural language processing nlp models classify communication content team cognition behaviors could automate realtime evaluation handoffs coded communication content behavior utterance simulations test train six support vector machine svm models frequent communication content codes average anesthesia information 196 occurrences followed surgical information 176 occurrences found svm model utilizing kfold stratification hyperparameter sensitivity analysis best classified communication content behaviors accuracy scores 7419 5484 respectively believe model could improved training larger dataset reallife handoffs communication content codes organized according role likely provide information handoff protocols must explicitly teambased allow team members share information regardless role © 2023,care transitions handoffs natural language processing nlp patient safety team cognition team communication,['Support Vector Machine'],[]
Hsieh C.-T.; Sun J.-M.; Chen Y.-S.,Effectiveness of Minimally Invasive Transforaminal Lumbar Interbody Fusion in Geriatric Patients,2023,International Journal of Gerontology,background spinal fusion surgery challenging patients aged 3 65 years minimally invasive transforaminal lumbar interbody fusion mistlif mainstay treatment degenerative diseases conducted retrospective study explore role mistlif patients aged 3 65 years methods included patients underwent mistlif january 2014 july 2021 clinical outcomes evaluated according pain severity medication use activity work status comorbidities mistlif levels operation duration intraoperative blood loss length hospital stay postoperative complications analyzed compared patients aged 3 65 years aged 65 years predictive model shortterm clinical outcomes constructed using decision treebased machine learning results total 138 patients enrolled 86 patients excellent good shortterm clinical outcomes predictive model excellent accuracy areaunderthecurve values 09 risk factors associated favorable shortterm clinical outcomes length hospital stay 3 7 days odds ratio 036 p 0042 operation duration 3 240 minutes 0295 p 0018 mistlif levels 0522 p 004 however multivariate analysis results revealed effects factors nonsignificant approachrelated complication rate patients underwent mistlif approximately 5 conclusion according highly accurate predictive model mistlif effective patients aged 3 65 years corresponding shortterm clinical outcomes comparable observed patient aged 65 years copyright © 2023 taiwan society geriatric emergency critical care medicine,geriatrics minimally invasive surgical procedures spinal fusion spine,"['Decision Trees', 'Machine Learning']",[]
Goldstein J.C.; Goldstein H.V.,Perfect Preparation,2023,Anesthesiology,abstract available,,[],[]
Nolan G.S.; Parker A.J.; Kiely A.L.; Hutton M.; Burke J.; Murphy R.N.A.,A new horizon for surgical research in a digital world: A national operation notes system,2023,"Journal of Plastic, Reconstructive and Aesthetic Surgery",abstract available,,[],[]
Zhao Y.; Zheng S.; Cai N.; Zhang Q.; Zhong H.; Zhou Y.; Zhang B.; Wang G.,Utility of Artificial Intelligence for Real-Time Anatomical Landmark Identification in Ultrasound-Guided Thoracic Paravertebral Block,2023,Journal of Digital Imaging,thoracic paravertebral block tpvb common method inducing perioperative analgesia thoracic abdominal surgery identifying anatomical structures ultrasound images important especially inexperienced anesthesiologists unfamiliar anatomy therefore aim develop artificial neural network ann automatically identify realtime anatomical structures ultrasound images tpvb study retrospective study using ultrasound scans video standard still images acquired marked contours paravertebral space pvs lung bone tpvb ultrasound image based labeled ultrasound images used unet framework train create ann enabled realtime identification important anatomical structures ultrasound images total 742 ultrasound images acquired labeled study ann intersection union iou dice similarity coefficient dsc dice coefficient paravertebral space pvs 075 086 respectively iou dsc lung 085 092 respectively iou dsc bone 069 083 respectively accuracies pvs lung bone 917 954 743 respectively tenfold cross validation median interquartile range pvs iou dsc 0773 087 respectively significant difference scores pvs lung bone two anesthesiologists developed ann realtime automatic identification thoracic paravertebral anatomy performance ann highly satisfactory conclude ai good prospects use tpvb clinical registration number chictr2200058470 url httpwwwchictrorgcnshowprojaspxproj152839 registration date 20220409 © 2023 authors exclusive licence society imaging informatics medicine,artificial intelligence automated paravertebral block unet ultrasound,[],[]
Segas E.; Mick S.; Leconte V.; Dubois O.; Klotz R.; Cattaert D.; de Rugy A.,Intuitive movement-based prosthesis control enables arm amputees to reach naturally in virtual reality,2023,eLife,impressive progresses made bionic limbs design control yet controlling numerous joints prosthetic arm necessary place hand correct position orientation grasp objects remains challenging designed intuitive movementbased prosthesis control leverages natural arm coordination predict distal joints missing arm amputees based proximal stump motion knowledge movement goal control validated 29 participants including 7 aboveelbow amputees picked placed bottles wide range locations virtual reality median success rates 99 movement times identical natural movements control also enabled 15 participants including 3 limb deficiency reach grasp real objects robotic arm operated according principle remarkably achieved without prior training indicating control intuitive instantaneously usable could used phantom limb pain management virtual reality augment reaching capabilities invasive neural interfaces usually focused hand grasp control © 2023 elife sciences publications ltd rights reserved,,[],[]
Ren H.; An C.; Fu W.; Wu J.; Yao W.; Yu J.; Liang P.,Prediction of local tumor progression after microwave ablation for early-stage hepatocellular carcinoma with machine learning,2023,Journal of Cancer Research and Therapeutics,objectives local tumor progression ltp major constraint achieving technical success microwave ablation mwa treatment earlystage hepatocellular carcinoma ehcc study aims develop machine learning mlbased predictive models ltp initial mwa ehcc materials methods total 607 treatmentnaïve ehcc patients mean ± standard deviation sd age 574 ± 108 years 934 tumors according milan criteria subsequently underwent mwa august 2009 january 2016 enrolled period 299 patients assigned external validation datasets identify risk factors ltp mwa clinicopathological data ablation parameters collected predictive models developed according 21 variables using four ml algorithms evaluated based area receiver operating characteristic curve auc 95 confidence intervals cis results median followup time 287 months range 761105 months 69 42607 patients confirmed ltp training dataset tumor size number significantly related ltp aucs four models ranged 0791 0898 best performance auc 0898 95 ci 0842 0954 sd 0028 occurred nine variables introduced catboost algorithm according feature selection algorithms top six predictors tumor number albumin alphafetoprotein tumor size age international normalized ratio conclusions four ml models catboost model performed best reasonable precise ablation protocols significantly reduce ltp © 2023 wolters kluwer medknow publications rights reserved,catboost hepatocellular carcinoma local tumor progression machine learning microwave ablation,['Machine Learning'],['Machine Learning']
Cascella M.; Tracey M.C.; Petrucci E.; Bignami E.G.,"Exploring Artificial Intelligence in Anesthesia: A Primer on Ethics, and Clinical Applications",2023,Surgeries (Switzerland),field anesthesia always forefront innovation technology integration artificial intelligence ai represents next frontier anesthesia care use ai subtypes machine learning potential improve efficiency reduce costs ameliorate patient outcomes ai assist decision making primary advantage lies empowering anesthesiologists adopt proactive approach address clinical issues potential uses ai anesthesia schematically grouped clinical decision support pharmacologic mechanical robotic applications teleanesthesia includes strategies telemedicine well device networking improving logistics operating room augmented reality approaches training assistance despite growing scientific interest research validation needed fully understand benefits limitations applications clinical practice moreover ethical implications ai anesthesia must also considered ensure patient safety privacy compromised paper aims provide comprehensive overview ai anesthesia including current potential applications ethical considerations must considered ensure safe effective use technology © 2023 authors,anesthesia artificial intelligence ethics machine learning,"['Decision-making', 'Machine Learning']",['Machine Learning']
